Time;Mode;State;Warning 1;Warning 2;Longitude;Latitude;Heading;Speed;LGamma Dose rate (?Sv/h);LGamma BKG dose rate (?Sv/h);LGamma (cps);LGamma Bkg (cps);Neutron (cps);Neutron Bkg (cps);High range;HGamma filtered (cps);HGamma filtered Dose rate (?Sv/h);Ext (cps);Event #;Acq state;Live time (s);Temperature(C);Dose (?Sv);MCA Satured;ID 01;CL 01;ID 02;CL 02;ID 03;CL 03;ID 04;CL 04;ID 05;CL 05;ID 06;CL 06;ID 07;CL 07;ID 08;CL 08;
2017-05-30 14:46:42.545;Source Search;Initialization;ID BKG old;;--;--;--;--;0.006;0.008;96.7;70;0;0;False;1.1;0.262;--;;Slidding;3.453;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:45.684;Source Search;Initialization;ID BKG old;;--;--;--;--;0.004;0.008;68.2;47.2;0;0;False;1.9;0.435;--;;Slidding;6.582;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:46.169;Source Search;Initialization;ID BKG old;G cnts low;--;--;--;--;0.003;0.008;47.7;35.4;0;0;False;2;0.584;--;;Slidding;7.082;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:46.485;Source Search;Initialization;ID BKG old;;--;--;--;--;0.002;0.008;40.1;32.8;0;0;False;0;0.467;--;;Slidding;7.398;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:46.992;Source Search;Initialization;ID BKG old;;--;--;--;--;0.002;0.008;37.7;32.7;0;0;False;0;0.374;--;;Slidding;7.864;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:47.279;Source Search;Initialization;ID BKG old;;--;--;--;--;0.006;0.008;41.2;35;0;0;False;0;0.299;--;;Slidding;8.189;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:47.783;Source Search;Initialization;ID BKG old;;--;--;--;--;0.005;0.008;51.6;40.1;0;0;False;0;0.239;--;;Slidding;8.690;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:48.100;Source Search;Initialization;ID BKG old;;--;--;--;--;0.005;0.008;64.8;46.3;0;0;False;0;0.191;--;;Slidding;8.983;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:48.579;Source Search;Initialization;ID BKG old;;--;--;--;--;0.005;0.008;83.7;54.5;0;0;False;0;0.153;--;;Slidding;9.483;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:49.229;Source Search;Initialization;ID BKG old;;--;--;--;--;0.006;0.008;118.7;67.7;0;0;False;1.5;0.303;--;;Slidding;9.430;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:49.727;Source Search;Initialization;ID BKG old;;--;--;--;--;0.009;0.008;186.3;90.7;0;0;False;0;0.243;--;;Slidding;7.179;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:50.022;Source Search;Initialization;ID BKG old;;--;--;--;--;0.011;0.008;223.6;107.7;0;0;False;0;0.194;--;;Slidding;4.343;26.31;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:50.516;Source Search;Initialization;ID BKG old;;--;--;--;--;0.013;0.008;273.1;127.7;0;0;False;0;0.155;--;;Slidding;4.337;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:50.829;Source Search;Background;Stored gain;;--;--;--;--;0.018;0.009;332.6;150.6;0;0;False;0;0.124;--;;Slidding;4.318;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:51.523;Source Search;Background;Stored gain;;--;--;--;--;0.027;0.009;384.7;172.9;0;0;False;0;0.099;--;;Slidding;4.549;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:52.023;Source Search;Background;Stored gain;;--;--;--;--;0.032;0.01;427.1;193.6;0;0;False;0;0.08;--;;Slidding;4.724;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:52.513;Source Search;Background;Stored gain;;--;--;--;--;0.045;0.011;461.1;212.9;0;0;False;0;0.064;--;;Slidding;4.704;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:53.028;Source Search;Background;Stored gain;;--;--;--;--;0.058;0.013;511.8;234.9;0;0;False;2;0.286;--;;Slidding;4.911;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:53.509;Source Search;Background;Stored gain;;--;--;--;--;0.077;0.015;529;251.6;0;0;False;2.8;0.554;--;;Slidding;4.773;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:54.228;Source Search;Background;Stored gain;;--;--;--;--;0.09;0.017;524.6;264.1;0;0;False;0;0.443;--;;Slidding;4.962;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:54.735;Source Search;Background;Stored gain;;--;--;--;--;0.1;0.019;517.5;274.9;0;0;False;0;0.355;--;;Slidding;4.963;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:55.099;Source Search;Background;Stored gain;;--;--;--;--;0.109;0.022;520.5;285.8;0;0;False;0;0.284;--;;Slidding;5.034;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:56.687;Source Search;Background;Stored gain;;--;--;--;--;0.115;0.024;522.2;295.9;0;0;False;0.6;0.303;--;;Slidding;6.081;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:57.141;Source Search;Background;Stored gain;;--;--;--;--;0.119;0.026;525.2;305.3;0;0;False;0;0.243;--;;Slidding;6.284;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:57.593;Source Search;Background;Stored gain;;--;--;--;--;0.113;0.027;523.8;313.6;0;0;False;0;0.194;--;;Slidding;5.996;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:58.029;Source Search;Background;Stored gain;;--;--;--;--;0.117;0.029;528.2;321.9;0;0;False;0;0.155;--;;Slidding;5.953;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:58.462;Source Search;Background;Stored gain;;--;--;--;--;0.127;0.032;534.8;330.1;0;0;False;0;0.124;--;;Slidding;5.919;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:58.902;Source Search;Background;Stored gain;;--;--;--;--;0.132;0.034;529.5;336.5;0;0;False;2.3;0.367;--;;Slidding;5.858;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:59.333;Source Search;Background;Stored gain;;--;--;--;--;0.131;0.036;535.7;343.6;0;0;False;0;0.293;--;;Slidding;5.925;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:46:59.813;Source Search;Background;Stored gain;;--;--;--;--;0.143;0.038;563.8;352.9;0;0;False;0;0.235;--;;Slidding;5.524;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:47:00.237;Source Search;Background;Stored gain;;--;--;--;--;0.13;0.04;549.1;357.9;0;0;False;2.1;0.438;--;;Slidding;5.493;26.56;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:47:00.753;Source Search;Background;Stored gain;;--;--;--;--;0.134;0.042;532.3;362;0;0;False;0;0.35;--;;Slidding;5.630;26.94;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:47:01.716;Source Search;Background;Stored gain;;--;--;--;--;0.132;0.043;532.7;367.1;0;0;False;0;0.28;--;;Slidding;5.054;26.94;0.000;False;;;;;;;;;;;;;;;;;
2017-05-30 14:47:18.107;Source Search;Alarm;Stored gain;;--;--;--;--;0.129;0.045;528.2;371.4;0;0;False;0.3;0.253;--;8;BKG;15.967;27.44;0.001;False;88 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:19.384;Source Search;Alarm;T? change;;--;--;--;--;0.126;0.047;526.6;375.6;0;0;False;0.6;0.273;--;8;BKG;17.652;27.44;0.001;False;89 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:20.228;Source Search;Alarm;T? change;;--;--;--;--;0.12;0.048;525.3;379.5;0;0;False;0;0.218;--;8;BKG;18.508;27.44;0.001;False;89 keV;9;;;;;;;;;;;;;;;
2017-05-30 14:47:21.121;Source Search;Alarm;T? change;;--;--;--;--;0.115;0.049;517.9;382.7;0;0;False;0;0.174;--;8;BKG;19.295;27.44;0.001;False;89 keV;9;;;;;;;;;;;;;;;
